STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194925193 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.017339,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,68995170
CPU_CLK_UNHALTED_CORE,FIXC1,43046170
CPU_CLK_UNHALTED_REF,FIXC2,37005390
L2_LINES_IN_ALL,PMC0,56342
L2_TRANS_L2_WB,PMC1,1442
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0173,
Runtime unhalted [s],0.0196,
Clock [MHz],2553.2260,
CPI,0.6239,
L3 load bandwidth [MBytes/s],207.9584,
L3 load data volume [GBytes],0.0036,
L3 evict bandwidth [MBytes/s],5.3224,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],213.2808,
L3 data volume [GBytes],0.0037,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194925193 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16099
CPU_CLK_UNHALTED_CORE,FIXC1,16222
CPU_CLK_UNHALTED_REF,FIXC2,13178
L2_LINES_IN_ALL,PMC0,623
L2_TRANS_L2_WB,PMC1,23
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],3.228355e-06,
Runtime unhalted [s],7.390685e-06,
Clock [MHz],2701.9333,
CPI,1.0076,
L3 load bandwidth [MBytes/s],12350.5624,
L3 load data volume [GBytes],3.987200e-05,
L3 evict bandwidth [MBytes/s],455.9598,
L3 evict data volume [GBytes],1.472000e-06,
L3 bandwidth [MBytes/s],12806.5222,
L3 data volume [GBytes],4.134400e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194925193 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.002246,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,10292990
CPU_CLK_UNHALTED_CORE,FIXC1,5552205
CPU_CLK_UNHALTED_REF,FIXC2,4725270
L2_LINES_IN_ALL,PMC0,5292
L2_TRANS_L2_WB,PMC1,210
TABLE,Region CalculoResiduos,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0022,
Runtime unhalted [s],0.0025,
Clock [MHz],2579.0430,
CPI,0.5394,
L3 load bandwidth [MBytes/s],150.7655,
L3 load data volume [GBytes],0.0003,
L3 evict bandwidth [MBytes/s],5.9828,
L3 evict data volume [GBytes],1.344000e-05,
L3 bandwidth [MBytes/s],156.7482,
L3 data volume [GBytes],0.0004,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194925193 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.015267,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,64440670
CPU_CLK_UNHALTED_CORE,FIXC1,38291770
CPU_CLK_UNHALTED_REF,FIXC2,32406990
L2_LINES_IN_ALL,PMC0,44455
L2_TRANS_L2_WB,PMC1,1523
