STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
<<<<<<< HEAD
CPU clock:,2.194928925 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000174,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,545609
CPU_CLK_UNHALTED_CORE,FIXC1,365614
CPU_CLK_UNHALTED_REF,FIXC2,321706
L2_TRANS_ALL_REQUESTS,PMC0,11992
L2_RQSTS_MISS,PMC1,3787
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0002,
Runtime unhalted [s],0.0002,
Clock [MHz],2494.5035,
CPI,0.6701,
L2 request rate,0.0220,
L2 miss rate,0.0069,
L2 miss ratio,0.3158,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928925 GHz,
=======
CPU clock:,2.194740234 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000145,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,544654
CPU_CLK_UNHALTED_CORE,FIXC1,271277
CPU_CLK_UNHALTED_REF,FIXC2,298364
L2_TRANS_ALL_REQUESTS,PMC0,4338
L2_RQSTS_MISS,PMC1,1390
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0001,
Clock [MHz],1995.4906,
CPI,0.4981,
L2 request rate,0.0080,
L2 miss rate,0.0026,
L2 miss ratio,0.3204,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194740234 GHz,
>>>>>>> 9011bdeb94af211f66ede0891e02381f67c57699
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16099
<<<<<<< HEAD
CPU_CLK_UNHALTED_CORE,FIXC1,16821
CPU_CLK_UNHALTED_REF,FIXC2,14806
L2_TRANS_ALL_REQUESTS,PMC0,2321
L2_RQSTS_MISS,PMC1,725
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.525399e-06,
Runtime unhalted [s],7.663574e-06,
Clock [MHz],2493.6444,
CPI,1.0448,
L2 request rate,0.1442,
L2 miss rate,0.0450,
L2 miss ratio,0.3124,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928925 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000034,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,164602
CPU_CLK_UNHALTED_CORE,FIXC1,93105
CPU_CLK_UNHALTED_REF,FIXC2,81906
L2_TRANS_ALL_REQUESTS,PMC0,3438
L2_RQSTS_MISS,PMC1,1054
TABLE,Region CalculoResiduos,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.369449e-05,
Runtime unhalted [s],4.241823e-05,
Clock [MHz],2495.0414,
CPI,0.5656,
L2 request rate,0.0209,
L2 miss rate,0.0064,
L2 miss ratio,0.3066,
